#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 07 31 23 50  67  9.0 10.8  2.06  8.33  5.60  65 1014.0  27.8  28.1  23.1 99.0 99.00
2016 08 01 00 50  71  8.3  9.8  2.09  8.33  5.76  74 1014.7  27.8  28.1  23.4 99.0 99.00
2016 08 01 01 50  54  9.4 11.6  2.02  8.33  5.67  85 1014.8  27.7  28.1  23.7 99.0 99.00
2016 08 01 02 50  56  8.8 10.7  1.99  8.33  5.49  80 1014.9  27.9  28.1  23.7 99.0 99.00
2016 08 01 03 50  60  7.9  9.3  1.88  7.69  5.32  77 1014.6  28.0  28.1  23.3 99.0 99.00
2016 08 01 04 50  59  6.9  8.4  2.03  8.33  5.73  75 1014.1  27.7  28.1  23.2 99.0 99.00
2016 08 01 05 50  59  6.9  8.5  2.05  7.14  5.77  71 1013.7  27.7  28.1  23.5 99.0 99.00
2016 08 01 06 50  53  4.6  5.3  1.90  7.69  5.73  68 1013.3  27.5  28.1  23.7 99.0 99.00
2016 08 01 07 50  78  6.6  8.0  1.82  8.33  5.75  75 1013.1  27.2  28.1  24.2 99.0 99.00
2016 08 01 08 50  52  9.2 11.0  1.62  7.69  5.52  76 1013.1  27.4  28.0  24.0 99.0 99.00
2016 08 01 09 50  58  9.1 10.8  1.88  8.33  5.68  91 1013.3  28.0  28.0  23.3 99.0 99.00
2016 08 01 10 50  56  9.5 11.3  1.87  8.33  5.46  73 1013.5  28.4  28.0  22.9 99.0 99.00
2016 08 01 11 50  50  8.6 10.0  1.88  7.69  5.41  73 1013.9  28.2  28.1  23.6 99.0 99.00
2016 08 01 12 50  44  8.8 10.1  1.93  8.33  5.50  74 1014.2  27.9  28.1  23.9 99.0 99.00
2016 08 01 13 50  52  7.9  8.9  1.84  9.09  5.37 104 1013.9  28.2  28.2  23.2 99.0 99.00
2016 08 01 14 50  55  9.4 11.2  1.92  6.67  5.48  68 1013.5  28.0  28.2  24.0 99.0 99.00
2016 08 01 15 50  52  8.9 10.2  1.94  8.33  5.52  75 1013.3  28.0  28.2  24.4 99.0 99.00
2016 08 01 16 50  48  9.0 10.9  1.86  8.33  5.42  77 1012.6  28.1  28.2  23.8 99.0 99.00
2016 08 01 17 50  51  9.3 10.7  1.89  9.09  5.32  97 1011.8  27.8  28.2  23.8 99.0 99.00
2016 08 01 18 50  54  8.9 10.3  1.78  7.14  5.43  85 1011.5  27.8  28.2  24.3 99.0 99.00
2016 08 01 19 50  60  8.1  9.3  1.83  7.69  5.45  83 1011.7  28.2  28.2  24.1 99.0 99.00
2016 08 01 20 50  55  8.2 10.6  1.82  9.09  5.40  86 1011.7  27.8  28.2  24.2 99.0 99.00
2016 08 01 21 50  56  9.1 10.5  1.87  8.33  5.67  83 1011.9  27.9  28.2  23.7 99.0 99.00
2016 08 01 22 50  58  9.1 10.3  1.86  7.69  5.54  86 1012.4  27.9  28.1  24.1 99.0 99.00
2016 08 01 23 50  61  9.4 11.1  1.94  7.14  5.42  72 1013.1  27.8  28.1  23.6 99.0 99.00
2016 08 02 00 50  60  8.3  9.8  1.93  7.69  5.51  77 1013.7  27.7  28.1  23.9 99.0 99.00
2016 08 02 01 50  68  8.3  9.8  1.99  8.33  5.52  93 1014.1  27.7  28.1  23.9 99.0 99.00
2016 08 02 02 50  70  7.9  9.9  1.99  7.69  5.81  78 1014.1  27.5  28.1  24.1 99.0 99.00
