#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 09 01 00 00  85  7.2  9.2 99.00 99.00 99.00 999 1014.1  28.8  29.4  25.9 99.0 99.00 
2016 09 01 00 10  84  6.4  7.7 99.00 99.00 99.00 999 1014.2  28.8  29.4  26.0 99.0 99.00 
2016 09 01 00 20  81  6.0  7.6 99.00 99.00 99.00 999 1014.4  29.0  29.4  26.2 99.0 99.00 
2016 09 01 00 30  76  7.7 10.7 99.00 99.00 99.00 999 1014.5  29.0  29.4  26.0 99.0 99.00 
2016 09 01 00 40  83  8.3 11.3  1.80  6.67  5.32  79 1014.6  28.8  29.4  26.0 99.0 99.00 
2016 09 01 00 50  73  8.9 11.7 99.00 99.00 99.00 999 1014.8  29.4  29.4  25.9 99.0 99.00 
2016 09 01 01 00  70  9.2 11.3 99.00 99.00 99.00 999 1015.0  29.4  29.4  25.6 99.0 99.00 
2016 09 01 01 10  66  9.1 11.0 99.00 99.00 99.00 999 1015.1  29.5  29.4  25.7 99.0 99.00 
2016 09 01 01 20  69  9.8 11.9 99.00 99.00 99.00 999 1015.3  29.5  29.4  25.8 99.0 99.00 
2016 09 01 01 30  72  9.4 11.2 99.00 99.00 99.00 999 1015.4  29.5  29.4  25.8 99.0 99.00 
2016 09 01 01 40  71  9.1 11.2  1.94  7.14  5.40  85 1015.6  29.5  29.4  25.6 99.0 99.00 
2016 09 01 01 50  72  8.8 11.2 99.00 99.00 99.00 999 1015.6  29.6  29.4  25.9 99.0 99.00 
2016 09 01 02 00  75  9.0 11.1 99.00 99.00 99.00 999 1015.7  29.5  29.4  25.7 99.0 99.00 
2016 09 01 02 10  75  8.1 10.3 99.00 99.00 99.00 999 1015.8  29.6  29.4  26.0 99.0 99.00 
2016 09 01 02 20  72  9.1 12.4 99.00 99.00 99.00 999 1015.8  29.3  29.4  25.5 99.0 99.00 
2016 09 01 02 30  73  8.8 11.9 99.00 99.00 99.00 999 1015.6  29.1  29.4  25.6 99.0 99.00 
2016 09 01 02 40  79  9.1 11.5  1.90  7.69  5.31  82 1015.6  29.2  29.4  26.0 99.0 99.00 
2016 09 01 02 50  78  8.3 10.1 99.00 99.00 99.00 999 1015.7  29.3  29.4  26.0 99.0 99.00 
2016 09 01 03 00  77  8.2 10.4 99.00 99.00 99.00 999 1015.7  29.3  29.4  26.0 99.0 99.00 
2016 09 01 03 10  73  9.0 11.3 99.00 99.00 99.00 999 1015.7  29.4  29.4  25.6 99.0 99.00 
2016 09 01 03 20  73  8.9 11.2 99.00 99.00 99.00 999 1015.6  29.5  29.4  25.7 99.0 99.00 
2016 09 01 03 30  72  9.3 11.4 99.00 99.00 99.00 999 1015.6  29.5  29.4  25.7 99.0 99.00 
2016 09 01 03 40  68  9.0 11.0  1.88  7.14  5.38  84 1015.4  29.5  29.4  25.8 99.0 99.00 
2016 09 01 03 50  68  9.0 11.0 99.00 99.00 99.00 999 1015.2  29.4  29.4  25.6 99.0 99.00 
2016 09 01 04 00  71  8.9 10.6 99.00 99.00 99.00 999 1015.1  29.4  29.4  25.7 99.0 99.00 
2016 09 01 04 10  63  9.4 11.4 99.00 99.00 99.00 999 1015.2  29.2  29.4  25.9 99.0 99.00 
2016 09 01 04 20  63  8.4 10.1 99.00 99.00 99.00 999 1015.2  28.8  29.4  26.0 99.0 99.00 
2016 09 01 04 30  72  8.6 10.7 99.00 99.00 99.00 999 1015.2  28.9  29.4  26.1 99.0 99.00 
2016 09 01 04 40  78  8.7 11.2  1.89  7.14  5.25  88 1015.1  29.0  29.4  26.2 99.0 99.00 
2016 09 01 04 50  78  9.1 11.2 99.00 99.00 99.00 999 1015.0  29.1  29.4  25.6 99.0 99.00 
2016 09 01 05 00  79  8.2 10.3 99.00 99.00 99.00 999 1015.0  29.2  29.4  25.8 99.0 99.00 
