#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2016 01 31 23 50 106  5.0  6.0  1.80  9.09  6.64  85 1020.1  25.4  26.0  19.9 99.0 99.00
2016 02 01 00 50 106  5.6  6.9  1.72 10.00  6.57  80 1020.2  25.4  26.0  19.9 99.0 99.00
2016 02 01 01 50 109  6.2  7.3  1.70  9.09  6.62  67 1020.2  25.2  26.0  19.7 99.0 99.00
2016 02 01 02 50  97  6.1  7.7  1.97  9.09  6.86  79 1020.4  25.2  25.9  19.5 99.0 99.00
2016 02 01 03 50 104  5.8  7.2  2.24 12.90  7.56 335 1019.8  25.2  25.9  19.6 99.0 99.00
2016 02 01 04 50 117  5.8  7.0  2.33 12.90  7.92 328 1019.6  25.0  25.9  19.0 99.0 99.00
2016 02 01 05 50 117  5.9  7.4  2.69 12.90  8.25 333 1019.0  24.9  25.9  19.3 99.0 99.00
2016 02 01 06 50 113  5.4  7.0  2.45 12.12  8.02 334 1018.5  24.8  26.0  19.1 99.0 99.00
2016 02 01 07 50  99  4.9  6.7  2.67 12.12  8.38 330 1018.6  24.9  26.0  19.0 99.0 99.00
2016 02 01 08 50 102  5.4  6.8  2.66 10.81  8.25 329 1018.6  24.9  26.0  18.8 99.0 99.00
2016 02 01 09 50  97  5.2  7.1  2.65 12.90  8.31 316 1018.6  24.9  26.0  19.7 99.0 99.00
2016 02 01 10 50  92  6.3  8.3  2.53 10.81  7.98 319 1019.2  24.9  25.9  19.7 99.0 99.00
2016 02 01 11 50 107  6.8  8.7  2.66 12.12  7.94 321 1019.4  25.4  25.9  18.9 99.0 99.00
2016 02 01 12 50 109  6.8  8.5  2.62 12.90  7.78 334 1020.2  25.5  26.0  19.2 99.0 99.00
2016 02 01 13 50 121  6.5  8.5  2.53 12.90  7.56 319 1020.5  25.5  26.0  19.5 99.0 99.00
2016 02 01 15 50 127  6.4  8.3  2.32 12.12  7.40 325 1019.1  25.5  26.0  19.3 99.0 99.00
2016 02 01 16 50 124  5.9  7.4  2.63 12.12  7.88 319 1018.3  25.5  26.1  19.6 99.0 99.00
2016 02 01 17 50 115  5.4  7.0  2.44 10.00  7.48 346 1017.7  25.5  26.1  19.8 99.0 99.00
2016 02 01 18 50 134  5.1  6.6  2.30 12.12  7.17 330 1017.3  25.6  26.1  19.8 99.0 99.00
2016 02 01 19 50 127  5.0  6.7  2.34  9.09  7.41  65 1017.4  25.7  26.1  19.4 99.0 99.00
2016 02 01 20 50 121  5.6  6.9  2.52  9.09  7.61 101 1017.5  25.4  26.1  19.8 99.0 99.00
2016 02 01 21 50 122  4.8  6.3  2.37 11.43  7.50 333 1018.2  25.3  26.0  19.7 99.0 99.00
2016 02 01 22 50 128  5.1  6.6  2.33 11.43  7.45 331 1018.3  25.4  26.0  19.5 99.0 99.00
2016 02 01 23 50 113  5.1  6.9  2.26 11.43  7.60 347 1019.0  25.3  26.0  19.9 99.0 99.00
2016 02 02 00 50 115  4.7  6.3  2.29 11.43  7.66 326 1019.2  25.3  26.0  20.0 99.0 99.00
2016 02 02 01 50 125  5.1  6.4  2.14 10.81  7.47 333 1019.2  25.3  26.0  19.6 99.0 99.00
2016 02 02 02 50 130  5.5  6.9  2.13 11.43  7.48 329 1018.8  25.2  26.0  19.8 99.0 99.00
2016 02 02 03 50 125  5.1  6.6  2.00 10.81  7.50 326 1018.5  25.2  26.0  19.7 99.0 99.00
2016 02 02 04 50 116  5.7  6.9  2.01 11.43  7.23 341 1017.8  25.1  26.0  20.0 99.0 99.00
2016 02 02 05 50 120  5.0  6.3  1.98 10.00  7.16  44 1017.4  25.0  26.0  19.8 99.0 99.00
2016 02 02 06 50 114  5.3  6.2  2.11 10.81  7.55 347 1016.5  25.0  26.0  19.6 99.0 99.00
2016 02 02 07 50 124  5.0  6.3  2.25 10.00  7.69   5 1016.1  24.9  26.0  19.8 99.0 99.00
2016 02 02 08 50 132  5.7  7.2  2.21 10.00  7.45 353 1016.0  25.0  26.0  19.2 99.0 99.00
2016 02 02 09 50 133  5.7  7.3  2.42 10.00  7.87  10 1016.2  25.0  26.0  19.5 99.0 99.00
2016 02 02 10 50 129  5.2  6.5  2.11 10.00  7.26  23 1017.0  25.0  26.0  19.4 99.0 99.00
2016 02 02 11 50 129  5.2  6.2  2.00 10.00  7.15  12 1017.5  25.2  26.0  19.4 99.0 99.00
2016 02 02 12 50 135  5.3  6.4  2.03 10.00  7.38  39 1017.9  25.6  26.0  19.3 99.0 99.00
2016 02 02 13 50 139  5.1  6.1  2.04 10.00  7.40   3 1018.5  25.6  26.0  19.1 99.0 99.00
2016 02 02 14 50 132  5.5  6.7  2.03 10.00  7.51  45 1018.2  25.5  26.1  19.3 99.0 99.00
2016 02 02 15 50 142  4.6  5.6  1.98 10.81  7.49  46 1017.7  25.6  26.1  19.1 99.0 99.00
2016 02 02 16 50 153  3.1  4.1  2.16 10.00  7.36  18 1017.4  25.7  26.2  18.5 99.0 99.00
2016 02 02 17 50 134  3.2  4.1  2.03 10.00  7.43  35 1016.5  25.6  26.2  18.7 99.0 99.00
2016 02 02 18 50 129  1.8  2.9  1.97 10.00  7.57  36 1016.3  25.6  26.2  18.6 99.0 99.00
2016 02 02 19 50 147  2.0  3.0  1.97 10.00  7.47  15 1016.1  25.3  26.2  19.3 99.0 99.00
2016 02 02 20 50 124  3.0  3.8  2.02 10.00  7.72  38 1015.9  25.3  26.1  19.9 99.0 99.00
2016 02 02 21 50 160  4.5  5.5  2.01 10.00  7.65  67 1016.0  25.3  26.1  19.6 99.0 99.00
2016 02 02 22 50 171  5.6  7.5  1.70  9.09  6.94  60 1015.7  25.4  26.1  20.1 99.0 99.00
2016 02 02 23 50 183  5.8  7.0  1.73 10.00  7.22  25 1016.2  25.5  26.0  19.4 99.0 99.00
2016 02 03 00 50 194  5.1  6.4  1.76  9.09  7.15  57 1016.5  25.3  26.0  20.5 99.0 99.00
2016 02 03 01 50 206  4.6  5.6  1.89 10.00  7.59  73 1016.8  25.4  26.0  18.8 99.0 99.00
2016 02 03 02 50 217  4.7  6.2  1.67 10.00  7.08  54 1016.6  25.4  26.0  20.1 99.0 99.00
2016 02 03 03 50 225  5.6  6.9  1.87 10.00  7.50  62 1015.8  25.5  26.0  18.6 99.0 99.00
2016 02 03 04 50 243  5.0  6.2  1.78 10.00  7.20  68 1015.6  25.2  26.0  20.3 99.0 99.00
2016 02 03 05 50 328  8.1  9.4  1.65 10.00  6.80  61 1015.0  22.8  26.0  20.0 99.0 99.00
2016 02 03 06 50 319  6.2  7.8  1.78 10.00  6.86  73 1014.1  23.8  25.9  18.6 99.0 99.00
2016 02 03 07 50 282  7.6  9.3  1.60 10.81  6.53  76 1013.6  24.3  25.9  19.7 99.0 99.00
2016 02 03 08 50 291  6.1  7.4  1.62  9.09  6.52  92 1013.8  23.9  25.9  20.2 99.0 99.00
2016 02 03 09 50 320  5.2  6.6  1.40 10.00  6.43  65 1014.3  24.1  25.9  19.6 99.0 99.00
2016 02 03 10 50 328  5.5  6.8  1.56 10.00  6.73  70 1014.6  24.2  25.9  18.9 99.0 99.00
2016 02 03 11 50 331  6.9  8.4  1.49 10.00  6.37  69 1014.8  24.5  25.9  18.9 99.0 99.00
2016 02 03 12 50 339  5.6  6.8  1.44  9.09  6.29  85 1015.3  24.8  25.9  18.1 99.0 99.00
2016 02 03 13 50 338  4.4  5.6  1.56 10.00  6.81  81 1015.6  24.8  25.9  18.3 99.0 99.00
2016 02 03 14 50 347  7.6  8.8  1.56 10.00  6.73  62 1015.0  23.9  25.9  20.0 99.0 99.00
2016 02 03 15 50 331  6.6  8.0  1.46 10.00  5.90  87 1014.3  24.5  26.0  19.3 99.0 99.00
2016 02 03 16 50 323  6.3  8.1  1.64 10.00  6.51  51 1013.3  24.4  26.0  19.9 99.0 99.00
2016 02 03 17 50 348  8.6 10.2  1.41 10.00  6.03  60 1012.3  24.6  26.0  19.5 99.0 99.00
2016 02 03 18 50 338  8.1  9.7  1.54 12.12  5.73  61 1011.8  25.0  26.0  19.6 99.0 99.00
2016 02 03 19 50   5  9.3 11.1  1.63 10.00  5.37  72 1011.4  24.4  26.0  20.3 99.0 99.00
2016 02 03 20 50 349  9.8 12.1  2.03  5.56  5.55 342 1011.4  24.9  26.0  19.3 99.0 99.00
2016 02 03 21 50 356  9.2 11.3  2.00  9.09  5.60  75 1011.7  24.6  25.9  19.3 99.0 99.00
